기준년도,학교종류명,설립구분명,학교명,단과대학명,학과명(전공),구분명,학과특성명,졸업자수,국내+해외 취업자수,진학자수,기타인원수1(입대자수+외국인유학생+건강보험직장가입제외대상자수),기타인원수2,취업률(%)[ J / [I - (K+L)] ] *100(%)
2016,대학교,사립,아주대학교 _본교,사회과학대학,사회학과,주간,일반과정,18,7,0,0,0,38.9
2016,대학교,사립,아주대학교 _본교,사회과학대학,스포츠레저학과,주간,일반과정,9,1,0,0,0,11.1
2016,대학교,사립,아주대학교 _본교,사회과학대학,심리학과,주간,일반과정,75,29,0,0,0,38.7
2016,대학교,사립,아주대학교 _본교,사회과학대학,정치외교학과,주간,일반과정,23,9,0,0,0,39.1
2016,대학교,사립,아주대학교 _본교,사회과학대학,행정학과,주간,일반과정,34,17,0,0,0,50
2016,대학교,사립,아주대학교 _본교,인문대학,국어국문학과,주간,일반과정,31,15,0,0,0,48.4
2016,대학교,사립,아주대학교 _본교,인문대학,문화콘텐츠학과,주간,일반과정,24,14,0,0,0,58.3
2016,대학교,사립,아주대학교 _본교,인문대학,불어불문학과,주간,일반과정,19,7,0,0,0,36.8
2016,대학교,사립,아주대학교 _본교,인문대학,사학과,주간,일반과정,22,9,0,0,0,40.9
2016,대학교,사립,아주대학교 _본교,인문대학,영어영문학과,주간,일반과정,119,56,0,0,0,47.1
2016,대학교,사립,아주대학교 _본교,정보통신대학,소프트웨어융합학과,주간,일반과정,5,0,0,0,0,0
2016,대학교,사립,아주대학교 _본교,정보통신대학,전자공학과,주간,일반과정,280,167,0,0,0,59.6
2016,대학교,사립,아주대학교 _본교,정보통신대학,정보컴퓨터공학과,주간,일반과정,154,94,0,0,0,61
2016,대학교,사립,아주대학교 _본교,공과대학,교통시스템공학과,주간,일반과정,22,14,0,0,0,63.6
2016,대학교,사립,아주대학교 _본교,공과대학,기계공학과,주간,일반과정,188,119,0,0,0,63.3
2016,대학교,사립,아주대학교 _본교,공과대학,산업공학과,주간,일반과정,93,50,0,0,0,53.8
2016,대학교,사립,아주대학교 _본교,공과대학,신소재공학과,주간,일반과정,24,13,0,0,0,54.2
2016,대학교,사립,아주대학교 _본교,의과대학,의학과(본과),주간,일반과정,24,23,0,0,0,95.8
2016,대학교,사립,아주대학교 _본교,공과대학,응용화학생명공학과,주간,일반과정,93,36,0,0,0,38.7
2016,대학교,사립,아주대학교 _본교,공과대학,화학공학과,주간,일반과정,81,52,0,0,0,64.2
2016,대학교,사립,아주대학교 _본교,공과대학,환경공학과,주간,일반과정,17,3,0,0,0,17.6
2016,대학교,사립,아주대학교 _본교,정보통신대학,미디어학과,주간,일반과정,131,77,0,0,0,58.8
2016,대학교,사립,아주대학교 _본교,공과대학,건설시스템공학과,주간,일반과정,31,15,0,0,0,48.4
2016,대학교,사립,아주대학교 _본교,공과대학,건축학과,주간,일반과정,71,38,0,0,0,53.5
2015,대학교,사립,아주대학교 _본교,공과대학,건설시스템공학과,주간,일반과정,38,22,2,0,14,61.1
2015,대학교,사립,아주대학교 _본교,인문대학,영어영문학과,주간,일반과정,95,55,4,0,34,60.4
2015,대학교,사립,아주대학교 _본교,공과대학,건축학과,주간,일반과정,72,44,7,0,21,67.7
2015,대학교,사립,아주대학교 _본교,공과대학,교통시스템공학과,주간,일반과정,18,9,2,0,7,56.3
2015,대학교,사립,아주대학교 _본교,공과대학,기계공학과,주간,일반과정,170,115,26,1,27,80.4
2015,대학교,사립,아주대학교 _본교,공과대학,산업공학과,주간,일반과정,108,62,24,1,19,74.7
2015,대학교,사립,아주대학교 _본교,공과대학,신소재공학과,주간,일반과정,22,12,8,0,2,85.7
2015,대학교,사립,아주대학교 _본교,공과대학,응용화학생명공학과,주간,일반과정,74,24,29,0,20,53.3
2015,대학교,사립,아주대학교 _본교,공과대학,화학공학과,주간,일반과정,75,55,10,0,10,84.6
2015,대학교,사립,아주대학교 _본교,공과대학,환경공학과,주간,일반과정,25,11,8,0,5,64.7
2015,대학교,사립,아주대학교 _본교,정보통신대학,미디어학과,주간,일반과정,94,63,8,0,23,73.3
2015,대학교,사립,아주대학교 _본교,정보통신대학,전자공학과,주간,일반과정,241,139,58,0,43,76
2015,대학교,사립,아주대학교 _본교,정보통신대학,정보컴퓨터공학과,주간,일반과정,151,88,41,0,22,80
2015,대학교,사립,아주대학교 _본교,약학대학,약학과,주간,일반과정,18,11,5,1,1,91.7
2015,대학교,사립,아주대학교 _본교,자연과학대학,물리학과,주간,일반과정,18,3,9,0,6,33.3
2015,대학교,사립,아주대학교 _본교,자연과학대학,생명과학과,주간,일반과정,43,16,12,1,14,53.3
2015,대학교,사립,아주대학교 _본교,자연과학대학,수학과,주간,일반과정,34,16,5,0,11,55.2
2015,대학교,사립,아주대학교 _본교,자연과학대학,화학과,주간,일반과정,36,16,14,1,5,76.2
2015,대학교,사립,아주대학교 _본교,간호대학,간호학과(특별과정),야간,특별과정,78,65,2,0,11,85.5
2015,대학교,사립,아주대학교 _본교,의과대학,의학과(본과),주간,일반과정,23,23,0,0,0,100
2015,대학교,사립,아주대학교 _본교,경영대학,e-비즈니스학과,주간,일반과정,59,28,2,0,29,49.1
2015,대학교,사립,아주대학교 _본교,경영대학,경영학과,주간,일반과정,261,149,3,2,96,58.2
2015,대학교,사립,아주대학교 _본교,경영대학,금융공학과,주간,일반과정,6,3,2,1,0,100
2015,대학교,사립,아주대학교 _본교,법과대학,법학과,주간,일반과정,68,31,3,0,34,47.7
2015,대학교,사립,아주대학교 _본교,사회과학대학,경제학과,주간,일반과정,132,78,1,0,52,59.5
2015,대학교,사립,아주대학교 _본교,사회과학대학,사회학과,주간,일반과정,17,5,0,2,10,33.3
2015,대학교,사립,아주대학교 _본교,사회과학대학,스포츠레저학과,주간,일반과정,8,3,0,4,1,75
2015,대학교,사립,아주대학교 _본교,사회과학대학,심리학과,주간,일반과정,68,21,21,1,24,45.7
2015,대학교,사립,아주대학교 _본교,사회과학대학,정치외교학과,주간,일반과정,27,10,0,0,15,37
2015,대학교,사립,아주대학교 _본교,사회과학대학,행정학과,주간,일반과정,32,9,1,0,22,29
2015,대학교,사립,아주대학교 _본교,인문대학,국어국문학과,주간,일반과정,32,13,9,0,8,56.5
2015,대학교,사립,아주대학교 _본교,인문대학,문화콘텐츠학과,주간,일반과정,9,4,1,0,4,50
2015,대학교,사립,아주대학교 _본교,인문대학,불어불문학과,주간,일반과정,15,9,2,0,4,69.2
2015,대학교,사립,아주대학교 _본교,인문대학,사학과,주간,일반과정,25,14,3,1,7,66.7
2015,대학교,사립,아주대학교 _본교,간호대학,간호학과,주간,일반과정,75,65,0,2,8,89
2014,대학교,사립,아주대학교 _본교,사회과학대학,스포츠레저학과,주간,일반과정,6,6,0,0,0,100
2014,대학교,사립,아주대학교 _본교,의과대학,의학과(본과),주간,일반과정,22,21,0,0,1,95.5
2014,대학교,사립,아주대학교 _본교,사회과학대학,정치외교학과,주간,일반과정,25,10,1,1,12,43.5
2014,대학교,사립,아주대학교 _본교,사회과학대학,행정학과,주간,일반과정,36,13,3,0,20,39.4
2014,대학교,사립,아주대학교 _본교,인문대학,국어국문학과,주간,일반과정,33,9,2,0,18,29
2014,대학교,사립,아주대학교 _본교,인문대학,문화콘텐츠학과,주간,일반과정,7,4,1,0,2,66.7
2014,대학교,사립,아주대학교 _본교,인문대학,불어불문학과,주간,일반과정,15,7,2,1,5,58.3
2014,대학교,사립,아주대학교 _본교,인문대학,사학과,주간,일반과정,19,9,3,0,6,56.3
2014,대학교,사립,아주대학교 _본교,인문대학,영어영문학과,주간,일반과정,86,38,9,0,37,49.4
2014,대학교,사립,아주대학교 _본교,경영대학,e-비즈니스학과,주간,일반과정,53,32,4,0,17,65.3
2014,대학교,사립,아주대학교 _본교,경영대학,경영학과,주간,일반과정,217,132,9,0,68,63.5
2014,대학교,사립,아주대학교 _본교,경영대학,금융공학과,주간,일반과정,3,1,2,0,0,100
2014,대학교,사립,아주대학교 _본교,법과대학,법학과,주간,일반과정,83,38,4,1,40,48.7
2014,대학교,사립,아주대학교 _본교,사회과학대학,경제학과,주간,일반과정,108,60,4,1,42,58.3
2014,대학교,사립,아주대학교 _본교,사회과학대학,사회학과,주간,일반과정,15,7,0,0,8,46.7
2014,대학교,사립,아주대학교 _본교,간호대학,간호학과,주간,일반과정,78,67,0,1,10,87
